email,Graduation Status,Certification Status,Training Type,Source File
noahrobinson@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
gracerodriguez@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
elijahturner@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
avamitchell@example.com,Non Graduate,Not Certified,PowerBI Training,participant_status.xlsx
williamcooper@example.com,Non Graduate,Not Certified,PowerBI Training,participant_status.xlsx
charlottehill@example.com,Non Graduate,Not Certified,PowerBI Training,participant_status.xlsx
henryadams@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
evelynbaker@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
samuelcollins@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
miaallen@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
danielbennett@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
harperparker@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
jacobyoung@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
lilyward@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
matthewfoster@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
abigailbrooks@example.com,Non Graduate,Not Certified,PowerBI Training,participant_status.xlsx
josephgriffin@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
ellareed@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
davidflores@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
chloehoward@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
andrewstewart@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
victoriaking@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
thomasphillips@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
hannahbutler@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
christophermorgan@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
arialee@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
anthonybell@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
nataliesanders@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
joshuamorris@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
scarlettrivera@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
jonathanperry@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
penelopecook@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
ryanpeterson@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
eleanorbarnes@example.com,Non Graduate,Not Certified,PowerBI Training,participant_status.xlsx
calebjenkins@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
zoeyrussell@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
jackmurphy@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
madisonhayes@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
charlescoleman@example.com,Non Graduate,Not Certified,PowerBI Training,participant_status.xlsx
laylacooper@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
ethankelly@example.com,Non Graduate,Not Certified,PowerBI Training,participant_status.xlsx
sofiarichardson@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
owencox@example.com,Non Graduate,Not Certified,PowerBI Training,participant_status.xlsx
noraward@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
isaacprice@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
hazellong@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
dylanpowell@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
lillianfisher@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
christianhenderson@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
audreymyers@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
lukebryant@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
lucynguyen@example.com,Non Graduate,Not Certified,PowerBI Training,participant_status.xlsx
carterkim@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
samanthachavez@example.com,Non Graduate,Not Certified,PowerBI Training,participant_status.xlsx
gabrieljenkins@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
bellamorales@example.com,Non Graduate,Not Certified,PowerBI Training,participant_status.xlsx
aaronhayes@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
mayaporter@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
julianramirez@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
rubyhunter@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
leoross@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
sadiediaz@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
adamsimmons@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
violetgray@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
nathanmitchell@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
stellaperry@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
aidenrichardson@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
leahlopez@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
hunterbarnes@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
milabrooks@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
sebastiancarter@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
elliehughes@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
jacksonbennett@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
lunasanders@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
zacharyrogers@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
naomiward@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
liambrown@example.com,Non Graduate,Not Certified,PowerBI Training,participant_status.xlsx
gabriellacruz@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
patrickreed@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
zoeylong@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
calebscott@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
harperthompson@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
blakecarter@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
emilycoleman@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
dominicmyers@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
gracebell@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
isaacwright@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
lilyphillips@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
jaydenstewart@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
charlotteallen@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
