email,training type,Week,marks_type,Score
daniel.anderson@msc.com,Cloud Training,Week 3,Lab,73
sophia.thomas@msc.com,Cloud Training,Week 3,Lab,13
robert.taylor@msc.com,Cloud Training,Week 3,Lab,22
mia.lee@msc.com,Cloud Training,Week 3,Lab,42
william.harris@msc.com,Cloud Training,Week 3,Lab,87
isabella.clark@msc.com,Cloud Training,Week 3,Lab,71
joseph.lewis@msc.com,Cloud Training,Week 3,Lab,69
charlotte.robinson@msc.com,Cloud Training,Week 3,Lab,46
benjamin.young@msc.com,Cloud Training,Week 3,Lab,86
amelia.hall@msc.com,Cloud Training,Week 3,Lab,88
samuel.king@msc.com,Cloud Training,Week 3,Lab,37
abigail.scott@msc.com,Cloud Training,Week 3,Lab,15
alexander.green@msc.com,Cloud Training,Week 3,Lab,93
harper.adams@msc.com,Cloud Training,Week 3,Lab,63
christopher.baker@msc.com,Cloud Training,Week 3,Lab,37
lily.gonzalez@msc.com,Cloud Training,Week 3,Lab,51
matthew.nelson@msc.com,Cloud Training,Week 3,Lab,91
chloe.carter@msc.com,Cloud Training,Week 3,Lab,64
anthony.mitchell@msc.com,Cloud Training,Week 3,Lab,33
grace.perez@msc.com,Cloud Training,Week 3,Lab,47
joshua.moore@msc.com,Cloud Training,Week 3,Lab,92
ella.white@msc.com,Cloud Training,Week 3,Lab,77
andrew.ramirez@msc.com,Cloud Training,Week 3,Lab,92
zoe.walker@msc.com,Cloud Training,Week 3,Lab,26
nicholas.allen@msc.com,Cloud Training,Week 3,Lab,63
layla.rivera@msc.com,Cloud Training,Week 3,Lab,12
ryan.hill@msc.com,Cloud Training,Week 3,Lab,28
hannah.wright@msc.com,Cloud Training,Week 3,Lab,84
justin.flores@msc.com,Cloud Training,Week 3,Lab,1
natalie.collins@msc.com,Cloud Training,Week 3,Lab,17
ethan.edwards@msc.com,Cloud Training,Week 3,Lab,3
aria.turner@msc.com,Cloud Training,Week 3,Lab,59
james.williams@msc.com,Cloud Training,Week 4,Lab,99
sarah.johnson@msc.com,Cloud Training,Week 4,Lab,21
michael.brown@msc.com,Cloud Training,Week 4,Lab,66
emily.davis@msc.com,Cloud Training,Week 4,Lab,61
john.miller@msc.com,Cloud Training,Week 4,Lab,23
olivia.garcia@msc.com,Cloud Training,Week 4,Lab,96
david.martinez@msc.com,Cloud Training,Week 4,Lab,34
emma.wilson@msc.com,Cloud Training,Week 4,Lab,43
daniel.anderson@msc.com,Cloud Training,Week 4,Lab,14
sophia.thomas@msc.com,Cloud Training,Week 4,Lab,45
robert.taylor@msc.com,Cloud Training,Week 4,Lab,75
mia.lee@msc.com,Cloud Training,Week 4,Lab,91
william.harris@msc.com,Cloud Training,Week 4,Lab,58
isabella.clark@msc.com,Cloud Training,Week 4,Lab,88
joseph.lewis@msc.com,Cloud Training,Week 4,Lab,67
charlotte.robinson@msc.com,Cloud Training,Week 4,Lab,56
benjamin.young@msc.com,Cloud Training,Week 4,Lab,83
amelia.hall@msc.com,Cloud Training,Week 4,Lab,56
samuel.king@msc.com,Cloud Training,Week 4,Lab,88
abigail.scott@msc.com,Cloud Training,Week 4,Lab,35
alexander.green@msc.com,Cloud Training,Week 4,Lab,22
harper.adams@msc.com,Cloud Training,Week 4,Lab,87
christopher.baker@msc.com,Cloud Training,Week 4,Lab,75
lily.gonzalez@msc.com,Cloud Training,Week 4,Lab,78
matthew.nelson@msc.com,Cloud Training,Week 4,Lab,49
chloe.carter@msc.com,Cloud Training,Week 4,Lab,86
anthony.mitchell@msc.com,Cloud Training,Week 4,Lab,93
grace.perez@msc.com,Cloud Training,Week 4,Lab,95
joshua.moore@msc.com,Cloud Training,Week 4,Lab,44
ella.white@msc.com,Cloud Training,Week 4,Lab,64
andrew.ramirez@msc.com,Cloud Training,Week 4,Lab,44
zoe.walker@msc.com,Cloud Training,Week 4,Lab,0
nicholas.allen@msc.com,Cloud Training,Week 4,Lab,99
layla.rivera@msc.com,Cloud Training,Week 4,Lab,21
ryan.hill@msc.com,Cloud Training,Week 4,Lab,23
hannah.wright@msc.com,Cloud Training,Week 4,Lab,61
justin.flores@msc.com,Cloud Training,Week 4,Lab,71
natalie.collins@msc.com,Cloud Training,Week 4,Lab,91
ethan.edwards@msc.com,Cloud Training,Week 4,Lab,67
aria.turner@msc.com,Cloud Training,Week 4,Lab,51
james.williams@msc.com,Cloud Training,Week 5,Lab,78
sarah.johnson@msc.com,Cloud Training,Week 5,Lab,6
michael.brown@msc.com,Cloud Training,Week 5,Lab,22
emily.davis@msc.com,Cloud Training,Week 5,Lab,84
john.miller@msc.com,Cloud Training,Week 5,Lab,8
olivia.garcia@msc.com,Cloud Training,Week 5,Lab,95
david.martinez@msc.com,Cloud Training,Week 5,Lab,13
emma.wilson@msc.com,Cloud Training,Week 5,Lab,83
daniel.anderson@msc.com,Cloud Training,Week 5,Lab,46
sophia.thomas@msc.com,Cloud Training,Week 5,Lab,53
robert.taylor@msc.com,Cloud Training,Week 5,Lab,95
mia.lee@msc.com,Cloud Training,Week 5,Lab,32
william.harris@msc.com,Cloud Training,Week 5,Lab,9
isabella.clark@msc.com,Cloud Training,Week 5,Lab,22
joseph.lewis@msc.com,Cloud Training,Week 5,Lab,29
charlotte.robinson@msc.com,Cloud Training,Week 5,Lab,81
benjamin.young@msc.com,Cloud Training,Week 5,Lab,24
amelia.hall@msc.com,Cloud Training,Week 5,Lab,41
samuel.king@msc.com,Cloud Training,Week 5,Lab,63
abigail.scott@msc.com,Cloud Training,Week 5,Lab,53
alexander.green@msc.com,Cloud Training,Week 5,Lab,60
harper.adams@msc.com,Cloud Training,Week 5,Lab,3
christopher.baker@msc.com,Cloud Training,Week 5,Lab,21
lily.gonzalez@msc.com,Cloud Training,Week 5,Lab,70
matthew.nelson@msc.com,Cloud Training,Week 5,Lab,95
chloe.carter@msc.com,Cloud Training,Week 5,Lab,47
anthony.mitchell@msc.com,Cloud Training,Week 5,Lab,89
grace.perez@msc.com,Cloud Training,Week 5,Lab,53
joshua.moore@msc.com,Cloud Training,Week 5,Lab,53
ella.white@msc.com,Cloud Training,Week 5,Lab,70
andrew.ramirez@msc.com,Cloud Training,Week 5,Lab,55
zoe.walker@msc.com,Cloud Training,Week 5,Lab,83
nicholas.allen@msc.com,Cloud Training,Week 5,Lab,34
layla.rivera@msc.com,Cloud Training,Week 5,Lab,53
ryan.hill@msc.com,Cloud Training,Week 5,Lab,67
hannah.wright@msc.com,Cloud Training,Week 5,Lab,25
justin.flores@msc.com,Cloud Training,Week 5,Lab,20
natalie.collins@msc.com,Cloud Training,Week 5,Lab,26
ethan.edwards@msc.com,Cloud Training,Week 5,Lab,28
aria.turner@msc.com,Cloud Training,Week 5,Lab,26
james.williams@msc.com,Cloud Training,Week 6,Lab,88
sarah.johnson@msc.com,Cloud Training,Week 6,Lab,99
michael.brown@msc.com,Cloud Training,Week 6,Lab,51
emily.davis@msc.com,Cloud Training,Week 6,Lab,90
john.miller@msc.com,Cloud Training,Week 6,Lab,51
olivia.garcia@msc.com,Cloud Training,Week 6,Lab,88
david.martinez@msc.com,Cloud Training,Week 6,Lab,10
emma.wilson@msc.com,Cloud Training,Week 6,Lab,67
daniel.anderson@msc.com,Cloud Training,Week 6,Lab,90
sophia.thomas@msc.com,Cloud Training,Week 6,Lab,95
robert.taylor@msc.com,Cloud Training,Week 6,Lab,5
mia.lee@msc.com,Cloud Training,Week 6,Lab,13
william.harris@msc.com,Cloud Training,Week 6,Lab,14
isabella.clark@msc.com,Cloud Training,Week 6,Lab,87
joseph.lewis@msc.com,Cloud Training,Week 6,Lab,27
charlotte.robinson@msc.com,Cloud Training,Week 6,Lab,6
benjamin.young@msc.com,Cloud Training,Week 6,Lab,64
amelia.hall@msc.com,Cloud Training,Week 6,Lab,77
samuel.king@msc.com,Cloud Training,Week 6,Lab,18
abigail.scott@msc.com,Cloud Training,Week 6,Lab,79
alexander.green@msc.com,Cloud Training,Week 6,Lab,27
harper.adams@msc.com,Cloud Training,Week 6,Lab,8
christopher.baker@msc.com,Cloud Training,Week 6,Lab,59
lily.gonzalez@msc.com,Cloud Training,Week 6,Lab,23
matthew.nelson@msc.com,Cloud Training,Week 6,Lab,36
chloe.carter@msc.com,Cloud Training,Week 6,Lab,35
anthony.mitchell@msc.com,Cloud Training,Week 6,Lab,65
grace.perez@msc.com,Cloud Training,Week 6,Lab,77
joshua.moore@msc.com,Cloud Training,Week 6,Lab,30
ella.white@msc.com,Cloud Training,Week 6,Lab,20
andrew.ramirez@msc.com,Cloud Training,Week 6,Lab,34
zoe.walker@msc.com,Cloud Training,Week 6,Lab,96
nicholas.allen@msc.com,Cloud Training,Week 6,Lab,8
layla.rivera@msc.com,Cloud Training,Week 6,Lab,86
ryan.hill@msc.com,Cloud Training,Week 6,Lab,41
hannah.wright@msc.com,Cloud Training,Week 6,Lab,62
justin.flores@msc.com,Cloud Training,Week 6,Lab,56
natalie.collins@msc.com,Cloud Training,Week 6,Lab,29
ethan.edwards@msc.com,Cloud Training,Week 6,Lab,94
aria.turner@msc.com,Cloud Training,Week 6,Lab,15
james.williams@msc.com,Cloud Training,Week 7,Lab,61
sarah.johnson@msc.com,Cloud Training,Week 7,Lab,95
michael.brown@msc.com,Cloud Training,Week 7,Lab,88
emily.davis@msc.com,Cloud Training,Week 7,Lab,5
john.miller@msc.com,Cloud Training,Week 7,Lab,8
olivia.garcia@msc.com,Cloud Training,Week 7,Lab,35
david.martinez@msc.com,Cloud Training,Week 7,Lab,78
emma.wilson@msc.com,Cloud Training,Week 7,Lab,31
daniel.anderson@msc.com,Cloud Training,Week 7,Lab,46
sophia.thomas@msc.com,Cloud Training,Week 7,Lab,31
robert.taylor@msc.com,Cloud Training,Week 7,Lab,56
mia.lee@msc.com,Cloud Training,Week 7,Lab,79
william.harris@msc.com,Cloud Training,Week 7,Lab,7
isabella.clark@msc.com,Cloud Training,Week 7,Lab,77
joseph.lewis@msc.com,Cloud Training,Week 7,Lab,97
charlotte.robinson@msc.com,Cloud Training,Week 7,Lab,97
benjamin.young@msc.com,Cloud Training,Week 7,Lab,99
amelia.hall@msc.com,Cloud Training,Week 7,Lab,92
samuel.king@msc.com,Cloud Training,Week 7,Lab,8
abigail.scott@msc.com,Cloud Training,Week 7,Lab,99
alexander.green@msc.com,Cloud Training,Week 7,Lab,36
harper.adams@msc.com,Cloud Training,Week 7,Lab,43
christopher.baker@msc.com,Cloud Training,Week 7,Lab,28
lily.gonzalez@msc.com,Cloud Training,Week 7,Lab,32
matthew.nelson@msc.com,Cloud Training,Week 7,Lab,0
chloe.carter@msc.com,Cloud Training,Week 7,Lab,53
anthony.mitchell@msc.com,Cloud Training,Week 7,Lab,48
grace.perez@msc.com,Cloud Training,Week 7,Lab,45
joshua.moore@msc.com,Cloud Training,Week 7,Lab,72
ella.white@msc.com,Cloud Training,Week 7,Lab,53
andrew.ramirez@msc.com,Cloud Training,Week 7,Lab,87
zoe.walker@msc.com,Cloud Training,Week 7,Lab,66
nicholas.allen@msc.com,Cloud Training,Week 7,Lab,23
layla.rivera@msc.com,Cloud Training,Week 7,Lab,97
ryan.hill@msc.com,Cloud Training,Week 7,Lab,91
hannah.wright@msc.com,Cloud Training,Week 7,Lab,13
justin.flores@msc.com,Cloud Training,Week 7,Lab,23
natalie.collins@msc.com,Cloud Training,Week 7,Lab,37
ethan.edwards@msc.com,Cloud Training,Week 7,Lab,35
aria.turner@msc.com,Cloud Training,Week 7,Lab,41
james.williams@msc.com,Cloud Training,Week 8,Lab,3
sarah.johnson@msc.com,Cloud Training,Week 8,Lab,65
michael.brown@msc.com,Cloud Training,Week 8,Lab,54
emily.davis@msc.com,Cloud Training,Week 8,Lab,38
john.miller@msc.com,Cloud Training,Week 8,Lab,2
olivia.garcia@msc.com,Cloud Training,Week 8,Lab,5
david.martinez@msc.com,Cloud Training,Week 8,Lab,84
emma.wilson@msc.com,Cloud Training,Week 8,Lab,89
daniel.anderson@msc.com,Cloud Training,Week 8,Lab,59
sophia.thomas@msc.com,Cloud Training,Week 8,Lab,73
robert.taylor@msc.com,Cloud Training,Week 8,Lab,72
mia.lee@msc.com,Cloud Training,Week 8,Lab,72
william.harris@msc.com,Cloud Training,Week 8,Lab,9
isabella.clark@msc.com,Cloud Training,Week 8,Lab,52
joseph.lewis@msc.com,Cloud Training,Week 8,Lab,63
charlotte.robinson@msc.com,Cloud Training,Week 8,Lab,88
benjamin.young@msc.com,Cloud Training,Week 8,Lab,70
amelia.hall@msc.com,Cloud Training,Week 8,Lab,91
samuel.king@msc.com,Cloud Training,Week 8,Lab,30
abigail.scott@msc.com,Cloud Training,Week 8,Lab,97
alexander.green@msc.com,Cloud Training,Week 8,Lab,88
harper.adams@msc.com,Cloud Training,Week 8,Lab,19
christopher.baker@msc.com,Cloud Training,Week 8,Lab,29
lily.gonzalez@msc.com,Cloud Training,Week 8,Lab,83
matthew.nelson@msc.com,Cloud Training,Week 8,Lab,68
chloe.carter@msc.com,Cloud Training,Week 8,Lab,11
anthony.mitchell@msc.com,Cloud Training,Week 8,Lab,57
grace.perez@msc.com,Cloud Training,Week 8,Lab,37
joshua.moore@msc.com,Cloud Training,Week 8,Lab,95
ella.white@msc.com,Cloud Training,Week 8,Lab,4
andrew.ramirez@msc.com,Cloud Training,Week 8,Lab,63
zoe.walker@msc.com,Cloud Training,Week 8,Lab,48
nicholas.allen@msc.com,Cloud Training,Week 8,Lab,61
layla.rivera@msc.com,Cloud Training,Week 8,Lab,8
ryan.hill@msc.com,Cloud Training,Week 8,Lab,51
hannah.wright@msc.com,Cloud Training,Week 8,Lab,10
justin.flores@msc.com,Cloud Training,Week 8,Lab,72
natalie.collins@msc.com,Cloud Training,Week 8,Lab,97
ethan.edwards@msc.com,Cloud Training,Week 8,Lab,37
aria.turner@msc.com,Cloud Training,Week 8,Lab,61
james.williams@msc.com,Cloud Training,Week 9,Lab,12
sarah.johnson@msc.com,Cloud Training,Week 9,Lab,23
michael.brown@msc.com,Cloud Training,Week 9,Lab,22
emily.davis@msc.com,Cloud Training,Week 9,Lab,93
john.miller@msc.com,Cloud Training,Week 9,Lab,69
olivia.garcia@msc.com,Cloud Training,Week 9,Lab,50
david.martinez@msc.com,Cloud Training,Week 9,Lab,22
emma.wilson@msc.com,Cloud Training,Week 9,Lab,69
daniel.anderson@msc.com,Cloud Training,Week 9,Lab,42
sophia.thomas@msc.com,Cloud Training,Week 9,Lab,52
robert.taylor@msc.com,Cloud Training,Week 9,Lab,8
mia.lee@msc.com,Cloud Training,Week 9,Lab,56
william.harris@msc.com,Cloud Training,Week 9,Lab,62
isabella.clark@msc.com,Cloud Training,Week 9,Lab,98
joseph.lewis@msc.com,Cloud Training,Week 9,Lab,98
charlotte.robinson@msc.com,Cloud Training,Week 9,Lab,35
benjamin.young@msc.com,Cloud Training,Week 9,Lab,72
amelia.hall@msc.com,Cloud Training,Week 9,Lab,29
samuel.king@msc.com,Cloud Training,Week 9,Lab,12
abigail.scott@msc.com,Cloud Training,Week 9,Lab,48
alexander.green@msc.com,Cloud Training,Week 9,Lab,40
harper.adams@msc.com,Cloud Training,Week 9,Lab,93
christopher.baker@msc.com,Cloud Training,Week 9,Lab,21
lily.gonzalez@msc.com,Cloud Training,Week 9,Lab,8
matthew.nelson@msc.com,Cloud Training,Week 9,Lab,81
chloe.carter@msc.com,Cloud Training,Week 9,Lab,85
anthony.mitchell@msc.com,Cloud Training,Week 9,Lab,58
grace.perez@msc.com,Cloud Training,Week 9,Lab,13
joshua.moore@msc.com,Cloud Training,Week 9,Lab,73
ella.white@msc.com,Cloud Training,Week 9,Lab,89
andrew.ramirez@msc.com,Cloud Training,Week 9,Lab,100
zoe.walker@msc.com,Cloud Training,Week 9,Lab,88
nicholas.allen@msc.com,Cloud Training,Week 9,Lab,7
layla.rivera@msc.com,Cloud Training,Week 9,Lab,51
ryan.hill@msc.com,Cloud Training,Week 9,Lab,75
hannah.wright@msc.com,Cloud Training,Week 9,Lab,13
justin.flores@msc.com,Cloud Training,Week 9,Lab,24
natalie.collins@msc.com,Cloud Training,Week 9,Lab,95
ethan.edwards@msc.com,Cloud Training,Week 9,Lab,33
aria.turner@msc.com,Cloud Training,Week 9,Lab,16
james.williams@msc.com,Cloud Training,Week 10,Lab,93
sarah.johnson@msc.com,Cloud Training,Week 10,Lab,10
michael.brown@msc.com,Cloud Training,Week 10,Lab,0
emily.davis@msc.com,Cloud Training,Week 10,Lab,73
john.miller@msc.com,Cloud Training,Week 10,Lab,21
olivia.garcia@msc.com,Cloud Training,Week 10,Lab,20
david.martinez@msc.com,Cloud Training,Week 10,Lab,26
emma.wilson@msc.com,Cloud Training,Week 10,Lab,34
daniel.anderson@msc.com,Cloud Training,Week 10,Lab,32
sophia.thomas@msc.com,Cloud Training,Week 10,Lab,61
robert.taylor@msc.com,Cloud Training,Week 10,Lab,90
mia.lee@msc.com,Cloud Training,Week 10,Lab,90
william.harris@msc.com,Cloud Training,Week 10,Lab,13
isabella.clark@msc.com,Cloud Training,Week 10,Lab,73
joseph.lewis@msc.com,Cloud Training,Week 10,Lab,4
charlotte.robinson@msc.com,Cloud Training,Week 10,Lab,27
benjamin.young@msc.com,Cloud Training,Week 10,Lab,70
amelia.hall@msc.com,Cloud Training,Week 10,Lab,34
samuel.king@msc.com,Cloud Training,Week 10,Lab,99
abigail.scott@msc.com,Cloud Training,Week 10,Lab,0
alexander.green@msc.com,Cloud Training,Week 10,Lab,75
harper.adams@msc.com,Cloud Training,Week 10,Lab,11
christopher.baker@msc.com,Cloud Training,Week 10,Lab,25
lily.gonzalez@msc.com,Cloud Training,Week 10,Lab,31
matthew.nelson@msc.com,Cloud Training,Week 10,Lab,15
chloe.carter@msc.com,Cloud Training,Week 10,Lab,32
anthony.mitchell@msc.com,Cloud Training,Week 10,Lab,97
grace.perez@msc.com,Cloud Training,Week 10,Lab,96
joshua.moore@msc.com,Cloud Training,Week 10,Lab,86
ella.white@msc.com,Cloud Training,Week 10,Lab,41
andrew.ramirez@msc.com,Cloud Training,Week 10,Lab,64
zoe.walker@msc.com,Cloud Training,Week 10,Lab,7
nicholas.allen@msc.com,Cloud Training,Week 10,Lab,9
layla.rivera@msc.com,Cloud Training,Week 10,Lab,94
ryan.hill@msc.com,Cloud Training,Week 10,Lab,6
hannah.wright@msc.com,Cloud Training,Week 10,Lab,46
justin.flores@msc.com,Cloud Training,Week 10,Lab,86
natalie.collins@msc.com,Cloud Training,Week 10,Lab,28
ethan.edwards@msc.com,Cloud Training,Week 10,Lab,47
aria.turner@msc.com,Cloud Training,Week 10,Lab,95
james.williams@msc.com,Cloud Training,Week 1,Quiz,49
sarah.johnson@msc.com,Cloud Training,Week 1,Quiz,53
michael.brown@msc.com,Cloud Training,Week 1,Quiz,58
emily.davis@msc.com,Cloud Training,Week 1,Quiz,13
john.miller@msc.com,Cloud Training,Week 1,Quiz,40
olivia.garcia@msc.com,Cloud Training,Week 1,Quiz,38
david.martinez@msc.com,Cloud Training,Week 1,Quiz,21
emma.wilson@msc.com,Cloud Training,Week 1,Quiz,64
daniel.anderson@msc.com,Cloud Training,Week 1,Quiz,94
sophia.thomas@msc.com,Cloud Training,Week 1,Quiz,84
robert.taylor@msc.com,Cloud Training,Week 1,Quiz,79
mia.lee@msc.com,Cloud Training,Week 1,Quiz,35
william.harris@msc.com,Cloud Training,Week 1,Quiz,3
isabella.clark@msc.com,Cloud Training,Week 1,Quiz,66
joseph.lewis@msc.com,Cloud Training,Week 1,Quiz,36
charlotte.robinson@msc.com,Cloud Training,Week 1,Quiz,1
benjamin.young@msc.com,Cloud Training,Week 1,Quiz,78
amelia.hall@msc.com,Cloud Training,Week 1,Quiz,7
samuel.king@msc.com,Cloud Training,Week 1,Quiz,19
abigail.scott@msc.com,Cloud Training,Week 1,Quiz,29
alexander.green@msc.com,Cloud Training,Week 1,Quiz,89
harper.adams@msc.com,Cloud Training,Week 1,Quiz,85
christopher.baker@msc.com,Cloud Training,Week 1,Quiz,39
lily.gonzalez@msc.com,Cloud Training,Week 1,Quiz,57
matthew.nelson@msc.com,Cloud Training,Week 1,Quiz,83
chloe.carter@msc.com,Cloud Training,Week 1,Quiz,57
anthony.mitchell@msc.com,Cloud Training,Week 1,Quiz,81
grace.perez@msc.com,Cloud Training,Week 1,Quiz,79
joshua.moore@msc.com,Cloud Training,Week 1,Quiz,76
ella.white@msc.com,Cloud Training,Week 1,Quiz,55
andrew.ramirez@msc.com,Cloud Training,Week 1,Quiz,70
zoe.walker@msc.com,Cloud Training,Week 1,Quiz,21
nicholas.allen@msc.com,Cloud Training,Week 1,Quiz,46
layla.rivera@msc.com,Cloud Training,Week 1,Quiz,88
ryan.hill@msc.com,Cloud Training,Week 1,Quiz,87
hannah.wright@msc.com,Cloud Training,Week 1,Quiz,74
justin.flores@msc.com,Cloud Training,Week 1,Quiz,87
natalie.collins@msc.com,Cloud Training,Week 1,Quiz,26
ethan.edwards@msc.com,Cloud Training,Week 1,Quiz,62
aria.turner@msc.com,Cloud Training,Week 1,Quiz,16
james.williams@msc.com,Cloud Training,Week 2,Quiz,90
sarah.johnson@msc.com,Cloud Training,Week 2,Quiz,25
michael.brown@msc.com,Cloud Training,Week 2,Quiz,34
emily.davis@msc.com,Cloud Training,Week 2,Quiz,40
john.miller@msc.com,Cloud Training,Week 2,Quiz,45
olivia.garcia@msc.com,Cloud Training,Week 2,Quiz,1
david.martinez@msc.com,Cloud Training,Week 2,Quiz,39
emma.wilson@msc.com,Cloud Training,Week 2,Quiz,98
daniel.anderson@msc.com,Cloud Training,Week 2,Quiz,2
sophia.thomas@msc.com,Cloud Training,Week 2,Quiz,86
robert.taylor@msc.com,Cloud Training,Week 2,Quiz,54
mia.lee@msc.com,Cloud Training,Week 2,Quiz,32
william.harris@msc.com,Cloud Training,Week 2,Quiz,81
isabella.clark@msc.com,Cloud Training,Week 2,Quiz,18
joseph.lewis@msc.com,Cloud Training,Week 2,Quiz,90
charlotte.robinson@msc.com,Cloud Training,Week 2,Quiz,11
benjamin.young@msc.com,Cloud Training,Week 2,Quiz,53
amelia.hall@msc.com,Cloud Training,Week 2,Quiz,30
samuel.king@msc.com,Cloud Training,Week 2,Quiz,58
abigail.scott@msc.com,Cloud Training,Week 2,Quiz,86
alexander.green@msc.com,Cloud Training,Week 2,Quiz,15
harper.adams@msc.com,Cloud Training,Week 2,Quiz,12
christopher.baker@msc.com,Cloud Training,Week 2,Quiz,58
lily.gonzalez@msc.com,Cloud Training,Week 2,Quiz,83
